title,category
" 에이치피오, 자사주 21만주 취득 결정...""미래가치 자신감""",경제
동영상기사,경제
 전관업체 계약해지 한다더니…LH 혁신안 곧 발표,경제
" 대우조선해양건설 회생계획안 가결... 법원, 인가 검토",경제
 ‘임영웅 사는 합정동 주상복합’…16세 정동원이 샀다,경제
 주목받는 디벨로퍼 ‘루시아홀딩스’ 랜드마크 분양 예고,경제
동영상기사,경제
 내년 기준시가 오피스텔 4.8%·상가 1% 내릴 듯,경제
동영상기사,경제
 서울 실거래가 꺾였는데…1기 신도시 분당·안양은 '들썩',경제
" 코레일, 엑스포 투표 앞두고 부산서 유치성공 음악회 열어",경제
" '시공사 탓' 그만…원희룡 ""LH, 자기 합리화 떨쳐내야""",경제
 일산 아파트 기둥 파열…“부실시공 원인으로 추정”,경제
 부동산 한파에…오피스텔 기준시가 19년 만에 하락,경제
 APEC 행사 왜 펑크냈나 했더니…머스크 ‘反유대’ 구설수,경제
" 기시다, 시진핑에 ""일본산 식품 수입규제 즉각 철폐해야""",경제
" [올댓차이나] 홍콩 증시, 알리바바 분리 중단에 속락 마감…H주 2.33%↓",경제
" [올댓차이나] 中, 신탁회사 등급제 도입…""리스크 철저관리""",경제
 머스크 또 反유대 논란…APEC 서밋 돌연 불참,경제
" [올댓차이나] 리샹차, 첫 완전 전기차 MEGA 양산 내년 2월 인도 개시",경제
 국제유가 급락 70달러도 위태,경제
 ‘투자귀재’ 버핏 또 日투자 늘리나…1조원대 엔화 채권 발행,경제
 미-중 반도체 전쟁에 눌린 알리바바…홍콩 2%↓[Asia마감],경제
" 中, 美국채 보유고 14년 만에 최저치… 더 팔면 연준에 부담",경제
" 롯데월드 놀이기구 '혜성특급' 운행 중 멈춰…""인명피해 없어""",경제
 알레르기 유발 물질 표시 안 한 롤케이크 등 3종 판매 중단·회수,경제
" 스니커즈 브랜드 '언다이드룸', 성수 첫 팝업스토어 오픈",경제
 “장사 끝나고 보니 200~300원 손님 수두룩”…골머리 앓는 붕어빵 ·호떡집,경제
" 부광약품, 오너가 3세 이우현 대표 단독 체제",경제
" ""가을 장사 다 망쳤다""…오락가락 기온에 패션업계 '곡소리'",경제
 갑자기 찾아온 추위에 오이·상추값 급등…김장 배추·무는 안정세,경제
" ""다이슨·노트북·호텔 뷔페 할인""…유통가, 수능 수험생·가족 공략",경제
 짜장면보다 싼 맛에…노브랜드 짜장버거 '인기',경제
 '알레르기 유발 물질 미표시' 롤케익 등 판매중단·회수,경제
 기술특례상장 주관사 책임 강화…거래소 코스닥 사장 규정 개정 예고,경제
동영상기사,경제
 전관업체 계약해지 한다더니…LH 혁신안 곧 발표,경제
" 을지 연합뉴스TV 최다액출자자 변경 '기습' 신청에 ""적대적 인수""",경제
 30만원 케이크 50만원 공연티켓…연말되니 더 미친 물가,경제
" 현대차, 아마존 온라인 판매로 북미 시장 공략",경제
" '회장님 롤렉스' 받는 오지환, 세금폭탄? 복잡해진 '셈법' 왜?",경제
" 거래소, 뻥튀기 상장 막는다... 기술특례상장 제도개선 예고 ",경제
 주유소 기름값 6주 연속 하락...ℓ당 휘발유 1686.1원·경유 1634.3원,경제
 사업보국·인재제일로 韓경제 선도…호암 이병철 삼성 창업주 36주기,경제
 [어촌어항공단 소식] 전사적 환경 캠페인 통해 탄소중립 실천 문화 확산外,경제
" 울먹인 이재용 ""합병으로 사익 염두 둔 적 없어…잘못 있다면 모두 제 몫”",사회
 고층 아파트에서 어린이가 던진 돌에 맞아 70대 남성 사망,사회
 “숨소리도 조심스러운데”…수능 영어 듣기평가 때 감독관 휴대전화 ‘띠링’,사회
" 상습 음주운전 60대, 만취 상태서 운전사고…보행자 숨져",사회
" 이재용 '부당합병' 3년 공방 마무리…""공짜 승계""VS""지배구조 투명화""(종합2보)",사회
 노원 아파트서 초등학생이 던진 돌에 70대 맞아 숨져,사회
 80대 여성 성폭행한 80대 남성…'고령' 이유로 귀가 조치,사회
 초등학생이 아파트서 던진 돌에... 70대 노인 사망,사회
" 70대 남성, 고층아파트 초등학생 던진 돌에 맞아 사망",사회
 노역장 유치 입소절차 안내하던 교도관 머리를 갑자기 ‘쾅’…40대 노역수 징역형,사회
 “숨소리도 조심스러운데”…수능 영어 듣기평가 때 감독관 휴대전화 ‘띠링’,사회
 [시사중국어학원의 리얼 중국어 회화] QR코드로 음식을 주문하다.,사회
 [시사일본어학원의 초단기 일본어 회화] 심부름,사회
 [파고다 강남 1타토익 RC김나래] PART 5,사회
 '킬러 논란'…정답률 1% '죽음의 수학 22번' 뭐길래,사회
 서울 주요 대학 합격선 하락 전망...“변별력 높아져 재수생 강세”,사회
 영어듣기평가 도중 감독관의 휴대전화 울려…전북교육청 조사 착수,사회
 수능 가채점은 2년 전 '불수능'급... 의대 등 주요 학과 합격선 하락할 듯,사회
" 종로학원 ""서울대 의대 292점, 경영 284점…전년 대비 2∼4점↓""(종합)",사회
 ‘킬러’ 없어도 어려웠던 수능…“지레 포기 말고 수시 준비해야”,사회
" 언론노조 ""보도채널 최대주주 변경절차 즉각 중단해야""",사회
" 이정식 장관, 유연근무제 활용 우수기업 방문",사회
" 이정식 장관, 유연근무제 활용 우수기업 방문",사회
" 이정식 장관, 유연근무제 활용 우수기업 방문",사회
" 행안부 ""행정전산망 장애 관련 납부·신고 등 기한 연장할 것""",사회
 “절대 그러실 분이 아니신데”…가짜농부 행세한 사회고위층들,사회
" 상복 위 패딩을 입고 어머니는 거리에 남았다···“9번째 영정이 놓이지 않도록”[노동사(死), 그 후의 이야기]",사회
" 고용장관 ""내년부터 유연근무제 인프라 구축비 지원""",사회
" 노동장관 ""유연근무 자리잡도록…장려금·컨설팅 확대""",사회
" 폴리텍대, ‘제15회 미래내모습그리기대회’ 개최",사회
" [영상] 민주 ""윤 정권, 연합뉴스TV를 마약사범·갑질투기꾼에 넘기려""",사회
" [기자수첩] KBS 사과방송, '의혹제기 포기선언' 아니길",사회
" 언론노조 ""보도채널 최대주주 변경절차 즉각 중단해야""",사회
" 연합뉴스 기자들, 편집총국장 중간평가 불신임",사회
" 뉴스타파 못 건드린 방심위에 ""촌극… 인터넷언론 심의 다시 못할 것""",사회
 한강포럼 '22대 총선 전략' 조찬강연,사회
" 본회의 문턱 넘은 '머그샷 공개법', 언론에 미칠 파장은",사회
 윤석열 장모 '징역1년 확정' 제일 앞에 배치한 메인뉴스는,사회
 KBS '더 라이브' 폐지 후폭풍…수신료 '보이콧' 움직임까지,사회
" 민주 ""연합뉴스TV를 마약사범·갑질투기꾼 을지재단에 넘기려해""",사회
 [날씨] 토요일 아침 영하라 추워요…낮 기온도 10도 이하,사회
" ""기후대책 부족하다""…호주 초중고생 수천명, 등교 거부 후 시위",사회
 수도권·강원 산불 10년간 해마다 200건…감소 해법은 '영농부산물 파쇄',사회
동영상기사,사회
 '개 식용 금지' 특별법 연내 추진…반발도 여전,사회
 수능 뒤 첫 주말 체감 -10도 '꽁꽁'…빙판길 주의[주말날씨],사회
 서울 눈 그쳤지만 곳곳 최대 15㎝ 더…밤에 -7도까지 '뚝'[퇴근길날씨],사회
" 낙동강환경청, 영남권 5개 광역시·도와 국가하천 유지·보수 방안 논의",사회
" 부산-울산항만공사, 친환경 선박연료 공급 활성화 MOU 체결",사회
" 한화진 환경부장관, 지역아동센터 환경보건 현장 점검",사회
" 한화진 환경부장관, 지역아동센터 환경보건 현장 점검",사회
" 알레르기 유발물질 표시 안한 '식빵·케잌'…""반품하세요""",사회
 영유아 의료비 한도 없이 공제...‘여야 개정안 공감대’,사회
" 유엔여성기구 성평등센터 포럼 개최…""남녀 임금격차 해소 방안 논의""",사회
 대통령실·의료계 눈치? 실무적 문제? 의대 증원 수요조사 발표 미루는 복지부,사회
 [카드뉴스]감자칩 등에 건강세 매긴다,사회
" SK울산콤플렉스, 19년째 장학금 전달…올해 방과후 수업 지원",사회
 [60초 뉴스]의사 인턴제도 폐지?…전공의 근무여건 개선도 필요,사회
" 부광약품, 이우현 OCI홀딩스 회장 단독대표 체제 변경",사회
 갑자기 저리고 욱신거리는 손목 통증... 손목터널증후군 치료는?,사회
 김해 도심 빈집 공용주차장으로 재탄생 지원사업 '호응',사회
" 아이디병원 “연말, 수험생 성형 수술 약 191% 급증”··수험생 특별혜택 제공",사회
" 여야, 0∼6세 영유아 의료비 세액공제 한도 폐지 잠정 합의(종합)",사회
 롤케익 살 때 '이 제품' 꼭 확인하세요…'알레르기 유발' 미표시,사회
 100주년 맞은 간호협회... '간호법' 재추친 시동,사회
 질병청 공인 ‘빈대 퇴치법’…“다리미·헤어드라이어·뜨거운 물”,사회
" 민원 서류발급 올스톱…행안부 ""주민센터 납부·신고기한 연장""",사회
" [단독]서울시립대, 공립의대 추진... ""서울의료원 연계 지역의료인 양성""",사회
" 한독, 숙취해소 젤리 '레디큐 스틱' 편의점 입점",사회
" 민주 ""연합뉴스TV를 마약사범·갑질투기꾼 을지재단에 넘기려해""",사회
" 지영미 청장, 항생제 내성 예방 캠페인 홍보부스 방문",사회
동영상기사,사회
" 김포시 ""68% 서울편입 찬성""…경기도 조사와 정반대",사회
 [포토]문체부 장미란 차관 ‘산마리노’ 방문,사회
 경남서 수능 부정행위 15건 … 반입금지 물품 소지 대부분,사회
" “예쁜 선생이면 민원도 없어” 경남교육청, 갑질 논란 학교장 수사 의뢰",사회
" ""충TV 덕분에 수능 한국지리 만점""...충주시 유튜브 또 화제",사회
 찾아가는 거리상담에서 청소년 만나는 김현숙 장관,사회
" 이상민 ""개딸당, 몇 명이 부르짖는다고 가능하지 않아""",사회
" 강릉·춘천서 올해 첫눈…""차량 운행·건강 관리 주의""",사회
 슈퍼카 등 호화생활 자랑하더니…짝퉁 팔아 수십억 챙긴 인플루언서 ‘실형’,사회
 노역장 유치 입소절차 안내하던 교도관 머리를 갑자기 ‘쾅’…40대 노역수 징역형,사회
" '싱글 인 서울' 박범수 감독 ""설렐 수 있다는 희망 주고 싶었죠""",사회
 [부고] 김병태 前 태광물산 대표 별세 外,사회
 [부고] 정인석씨 별세,사회
 [인사] 신세계그룹 ; 방위사업청 ; 지방공기업평가원,사회
 [인사] 신세계그룹,사회
 [인사] 방위사업청 외,사회
 [부고] 이성구(LBBW 서울지점 대표)씨 부친상 외,사회
 11월18일 인사,사회
 11월18일 궂긴 소식,사회
 [사진뉴스]  대전어은중학교 1일 기자체험,사회
 생후 이틀된 영아 살해 30대 친모 구속..출생신고 조사 중 포착,사회
동영상기사,사회
" 김포시 ""68% 서울편입 찬성""…경기도 조사와 정반대",사회
동영상기사,사회
" '부당합병' 1심 재판…이재용, 10분간 직접진술 ""기회 달라""",사회
동영상기사,사회
 [단독] '통계 조작 의혹' 청와대 일자리수석 압수수색,사회
동영상기사,사회
" 유인촌은 본 적도 없다던 '블랙리스트'…법원은 ""피해자에 배상하라""",사회
 “숨소리도 조심스러운데”…수능 영어 듣기평가 때 감독관 휴대전화 ‘띠링’,사회
" [속보] 이재용 ""모든 역량 쏟을 기회 달라""…재판부에 호소",사회
 “이게 1만5000원 어치야?”…광장시장 촬영 나간 유명 유튜버 ‘화들짝’,사회
 [날씨]전국 대부분 영하권…충청·전라 빙판길 주의,사회
동영상기사,사회
" '징역 5년 구형' 이재용 ""개인 이익 염두한 적 없어""",사회
" 낮에 태워야 하는데...""뚱뚱하면 밤에 더 열량 소모 많다, 왜?""",생활/문화
" ""옛친구에게 문자할까 말까?""...망설이지 마라, 감사해한다",생활/문화
동영상기사,생활/문화
 ‘마이코플라스마 폐렴’ 환자 3주 만에 2배 증가…대부분 아동,생활/문화
" 대표 집안일 ‘이것’ 개기… 심장병 위험 낮춘다는데, 진짜?",생활/문화
" 갑자기 찾아오는 뇌졸중, 어떻게 막지? [귀하신 몸]",생활/문화
" 부광약품, 이우현 OCI홀딩스 회장 단독대표 체제로",생활/문화
" 가톨릭대학교-한국전기연구원, 유망기술 소개 공동 심포지엄 개최",생활/문화
" 대구파티마병원, 캄보디아에서 해외의료봉사 펼쳐",생활/문화
" 어질어질, 빙글빙글, 비틀비틀 다양한 어지럼증 한의치료",생활/문화
" 국내 첫 자궁이식…희귀질환 여성, 임신의 꿈 가까워진다",생활/문화
" 현대차, 아마존 온라인 판매로 북미 시장 공략",생활/문화
 디 올 뉴 싼타페·아이오닉5 N ‘LA 오토쇼’ 데뷔,생활/문화
" 엔카닷컴, 딜러 전용 모바일 앱 ‘엔카파트너’ 운영",생활/문화
" ""큰 차는 미국차"" 정통 美SUV 쉐보레 트래버스·타호, 700만원대 할인",생활/문화
" KG모빌리티-푸타그룹, 베트남 시장 공략",생활/문화
" “현대차, 아마존서 사면 집까지 배송”…전세계 최초라는데",생활/문화
 현대차그룹 2023년 대표이사 사장단 인사,생활/문화
" 한국자동차공학회, 신임 회장에 전병욱 현대차 연구위원",생활/문화
 2025년부터 '아마존 두뇌' 탑재…유통공룡 손잡고 車 시장 혁신,생활/문화
 현대차그룹 50대 CEO 전진배치…'세대교체' 신호탄,생활/문화
 강남서 9호선 타고 환승 없이 인천공항 바로 간다,생활/문화
 '급변풍·강풍특보' 제주공항서 항공기 13편 결항·103편 지연,생활/문화
" 국가철도공단, 대구산업선 3개 역사 내년 3월까지 설계공모",생활/문화
" 코레일, '부산엑스포' 유치 응원 음악회 개최",생활/문화
" 도로공사 노사, 도로교통 미래 선도 ‘맞손’…공동선언문 발표",생활/문화
 인천공항서 강남까지 환승없이 '쭉'…'공항철도~9호선' 2027년 개통(종합),생활/문화
" 대구시, 버스·지하철료 1600원 안팎…""서민에 부담 전가"" 반발",생활/문화
" 한국도로공사, 노사 공동선언문 발표…""도로교통 미래 선도""",생활/문화
 [속보] 서울시 “지하철 9호선·인천공항철도 직결 운행 조속 추진”,생활/문화
 '수원·화성~서울' 경진여객 파업에도 출근대란 없어…지하철 등 이용,생활/문화
" 롯데월드 놀이기구 '혜성특급' 운행 중 멈춰…""인명피해 없어""",생활/문화
 설악산 칠선골에서 50대 등산객 숨진 채 발견,생활/문화
 관광사업 공동체 한자리에 모인다..문체부·관광공사 '이음두레' 개최,생활/문화
 밀양 여행의 시작점…여행문화센터 '해천상상루' 개관,생활/문화
" '6주년' 서울드래곤시티 ""통 크게 쏜다""",생활/문화
 서울 성수동서 경남관광 알린다…팝업스토어 '억수로 055' 운영,생활/문화
" 국민의힘 부산시당, 에어부산 분리매각 의견 청취",생활/문화
 풍요 명당은 주인이 따로 있다 [안영배의 웰빙풍수],생활/문화
" 투명하게 빛나는 광활한 소금밭, 대단합니다",생활/문화
" “취약계층을 위해 써달라”…하나투어, 종로구청에 쌀 화환 111포대 기부",생활/문화
" 아워홈, 싱카이·키사라 특별 프로모션…""29% 할인""",생활/문화
" SPC, '커피자루 업사이클 디자인 공모전' 시상식 및 전시회 개최",생활/문화
" 루에랑-Kreyenhop&Kluge, 유럽시장 확대 전략 세미나 성료",생활/문화
 ‘겨울철 별미’ 태안산 굴 본격 수확…“내년 3월까지 채취”,생활/문화
 미국산 돼지고기 능력고사 시상식 ‘영광스런 최후의 3인’,생활/문화
 ‘제1대 포크킹 탄생’ 美돼지고기에 대한 남다른 상식과 애정 보여줘,생활/문화
" 미국육류수출협회, U.S. P.A.T 진행",생활/문화
 美돼지고기로 만든 칠리 콘 카르네,생활/문화
 美돼지고기로 만든 ‘칠리 콘 카르네’ 시식,생활/문화
 '직접 맛보고',생활/문화
" 엔에프씨, '코스모팩 아시아' 참가…ODM 제품 알려",생활/문화
" 배우 안선영, 프리미엄 안티에이징 스킨케어 브랜드 모델 발탁",생활/문화
 한국 최정상 셰프 5명이 선보이는 루이 비통 팝업 레스토랑 오픈,생활/문화
" 라프텔, 홍보 모델에 배우 겸 방송인 안선영 발탁",생활/문화
 롯데마트 ‘베이비 브랜드 페스타’…‘반값 프로모션’ 제품 찾아보니,생활/문화
 타월 스커트가 115만원?…이케아 9900원 패러디에 “천재적” 폭소,생활/문화
" 파라점퍼스, 23FW 겨울 캠페인 'GRAND FROID' 선보여",생활/문화
" 한국콜마홀딩스, ESG 선도하는 UNGC '리드그룹' 2년 연속 선정",생활/문화
 전국 모든 어린이집에 핸드워시 세트 전달한 이 회사,생활/문화
" 프롬바이오코스메틱 매스티나, 뷰티 슈퍼위크 프로모션 진행",생활/문화
 국립세계문자박물관장에 김성헌 단국대 교수,생활/문화
 일상 속 도파민이 필요하다면…'푸에르자 부르타 웨이라' 공연,생활/문화
 [오늘의 arte] 이벤트 : 아르떼가 와인을 쏩니다,생활/문화
" 주벨기에 한국문화원, 브리쉘 개선문서 '미디어 파사드' 전시",생활/문화
" 조수미, 브뤼셀 개선문서 '부산엑스포 유치' 공연",생활/문화
 폐관 앞둔 대학로 대표 소극장 ‘학전’… 박학기·동물원 등 릴레이 무대 선다,생활/문화
" 조수미, 브뤼셀 개선문서 '부산엑스포 유치' 공연",생활/문화
" '건반 듀오' 스콧 브라더스 ""우린 서로를 항상 응원하는 형제…재미있는 클래식 선사할 것""",생활/문화
 [이 아침의 안무가] '20세기 英 발레의 정수'…프레더릭 애슈턴,생활/문화
" 김달진미술자료박물관, 한국전위미술사 재조명",생활/문화
 [주말에 함께] 해적의 시대를 건너는 법 外,생활/문화
 [책마을] 노예가 흔해지자…'기술 강국' 로마에 혁신이 사라졌다,생활/문화
" [홍순철의 글로벌 북 트렌드] AI로 우뚝 선 딥마인드 공동창업자 ""AI를 강력 규제하라""",생활/문화
 [책마을] '퀄리티 저널리즘'을 구현한 언론인들,생활/문화
" [책마을] ""선례가 없어서 안 돼요""…테슬라에선 못 듣는 소리",생활/문화
 [책마을] TV 예능에 나온 덕분에 쇼펜하우어 책들 깜짝 인기,생활/문화
 [책꽂이] '아이디어 1퍼센트의 법칙' 등,생활/문화
" [책마을] ""인구 감소에 대한 우려는 지나치게 과장됐다""",생활/문화
 [책마을] 美 민주당의 핵심 지지층…노동자들은 어디로 갔을까,생활/문화
 [책마을] 인간과 미생물의 맛있는 역사,생활/문화
" [이·팔 전쟁] 교황청 2인자 ""어떤 이유로도 병원 공격 안돼""",생활/문화
" '신사참배 거부' 최인규 권사, 순국선열의 날 독립유공자 포상",생활/문화
" [영상] 독일, 이슬람 단체 54개 전격 압수수색…""헤즈볼라 불법 지원""",생활/문화
" [동정] 유인촌, 대한민국-교황청 수교 60주년 특별전서 축사",생활/문화
" 유인촌 장관, 한국·교황청 수교 60주년 특별전 개막식 참석",생활/문화
 에드가 페냐 파라 대주교 손 맞잡은 유인촌 장관,생활/문화
" 유인촌 ""서소문성지 오니 파리 외방전교회 떠올라…가톨릭 의미 가슴에 담을 것""",생활/문화
 교황청 수교 60주년 기념 특별전 ‘모든 이를 위하여’ 축하기념식,생활/문화
 한국-교황청 수교 60주년 기념 특별전 축하기념식,생활/문화
" 유인촌 장관, '한-교황청 수교 60주년 기념 특별전 기념식",생활/문화
 [날씨] 토요일 아침 영하라 추워요…낮 기온도 10도 이하,생활/문화
" 강릉·춘천서 올해 첫눈…""차량 운행·건강 관리 주의""",생활/문화
동영상기사,생활/문화
 [날씨]내일 더 추워져…서해안 많은 눈,생활/문화
동영상기사,생활/문화
 밤사이 충청·호남 큰 눈‥주말 더 추워져 서울 -4도,생활/문화
동영상기사,생활/문화
 예산에 대설주의보…내일까지 최대 10cm 눈,생활/문화
동영상기사,생활/문화
" 한파·강풍특보, 대구·경북 내일 아침 영하권에 눈·비",생활/문화
동영상기사,생활/문화
 [퇴근길 날씨] 밤사이 충청·호남 강한 눈…내일 아침 ‘서울 -4도’,생활/문화
동영상기사,생활/문화
 경남 내일 아침 영하권…“눈·비 빙판길 주의”,생활/문화
동영상기사,생활/문화
 광주·전남 내일 아침까지 눈 또는 비…아침 기온 ‘뚝’,생활/문화
동영상기사,생활/문화
