comments,reaction
언제 다리미 꺼내서 전기 꼽아 가열시키고 스팀 분사까지 하고 있나... 그때까지 빈대가 가만히 앉아서 기다려주나? ㅋㅋ  참 쓸데없는 정보 제공하려고 애쓴다,0
전기 파리채로 해봤냐? 따딱!,0
대환영이다 국민의힘으로 가서 이상민이 원래 열심히 발의했던 차별금지법 계속 열심히 하길!,0
이상민 조응천 이원욱의원 강력하게  지지한다. 최소  정치인  자격있다.,0
공천한번받아볼라고 전과자한테 붙는거보다 좋게보이네,0
지역구 지지율 꼴찌나오니 탈당한다는거잖아 ㅋㅋ 기사는 똑바로 써야지,0
당원들이 지지한다. 이상민은 용기있게 탈당하라!,0
서울시민한테 받아줄껀지 물어보는게 맞는거 아니냐?ㅋ,0
김포시민이 찬성하면   서울시 김포구 되는겨?      그럼    개성주민이    찬성하면 서울시  개성구냐?    서울 시민들이  반대한다는데    뭔    개   소리여,0
좌파들 여론조사 가짜. 판명 됐네여!!,0
사울시민은 여론조사해보자 ㅋ 어떻게나오나,0
ㅋㅋㅋㅋㅋㅋ아니 떡 줄 놈은 생각안하는데 왜 지들끼리 저러는겨 폭락해서 구라로 어그로 끄는겨?? 걍 김포는 인천보다 멀다,0
"와~ 사실 평소 올바른 인성 아니면 불가능한 일. 누구나 할 수 있는 일이라지만, 누구나 쉽게 또 할 수 있는 일은 결코 아닌 거 같아요. 진짜 대단하신 분입니다! 복 왕창왕창 받으세요!!",0
돌아가신  우리 어머니도 치매로 길을 잃은 적이 있는데 다행히 지구대 도움으로 1시간만에 찾았었다. 여성분의 선행에 갑자기 눈물이 난다. 치매는 결코 남의 일이 아니다.,0
"별거아니라고  생각할수도있지만  별거  아닌 일이  꼭
필요한  사람에게는  큰  감동이예요
너무  따뜻하고  감사한  일입니다
존경스럽네요",0
인정많고 인성고운.김선씨을 보면서  코끝이 찡해지는군요..칭찬받아마땅합니다..,0
감사합니다 천사님,0
성인들 뺨치는 미성년자들 흉악범죄 더이상 방치한다면 이나라 저들에 그야말로 무법천지가 될것이다 이제 촉법이고뭐고 그 죄질에따라 중벌로 처벌해야한다 그것이 이나라 청소년들을 이날의 미래를 지키는 이시대의 절대 정의임을 명심하라,0
있는 집 자식이면 돈으로 때우려할테고 없는 집 자식이면 몸으로 때우겠지..어느쪽도 여자 아이에게는 위로가 안되겠네..저런 것들도 잘 포장해서 성인이 되면 멀쩡한척 하겠네..여자아이만 창살없는 감옥이나 트라우마로 살겠지..그것도 슬프네..제발 저런 범죄자들 청소년으로 포장하지말고 큰 벌치르거나 사회에서 격리시키면 좋겠다. 엄청난 벌을 받아도 여자아이에게는 사건 이후의 행복은 쉽게 오지 못할테니까..,0
"촉법시절에 많은 범죄를 했을거예요.촉법소년을 없애자.소년법을 없애고,중학생,고교생은 일반인과 똑같이 처벌해야 합니다.10대 범죄가 많이 발생합니다.촉법소년 폐기합시다.힘들면 촉법소년 다시 개정합시다.요새 초등학생,중학생,고교생 범죄가 무서워지고,어른 뺨치게 범죄를합니다.촉법소년 8세 미만으로 낮추고,소년법을 폐지해야 될거 같아요.법을 바꿔야 합니다.만6세 초등학교에 입학하면,중학교 2학년이 큰죄를 저질러도,촉법소년이라 훈방하고,그냥 집으로보내요. 말도 안돼요..초등4,5,6학년.중학생이면 알거 다 알았어요.반드시 고쳐야 합니다.",0
또 어리고 반성한다고 다 풀어죽겠지 판새딸내미가 당해봐야 정신차릴듯,0
저런 놈들 모아서 무인도에 격리하자,0
불법 승계는  맞지만  상속세가 너무 막대해서    경영권이  국제 자본에 넘어갈 수 밖에 없었던  사정도  감안 하긴 해야지..     부자도 적당히  부자여야  즐겁지..   청나라 마지막 황제  부의를 보는 듯 하여  애잔하다~,0
"사실상 요즘 사법부 판결하는 것보면, 신뢰가 전혀 1도 가지 않는다. 한국의 최대 기업인 삼성 이재용에 대한 구형은, 정말 그가 죄가 있는지도 의심이 간다. 없는 죄도 만드는 이상한 사법부라서... 삼성 기업이 무슨 동네 북도 아니고 판사들이 권한을 남용하면 누가 심판하나?",0
공산당과 주사파와 무슬림과 설라도와 폐미가 합쳐진 민주당 5년이 이렇게 무섭다 나라를 박살낸다,0
문재앙은 5년 구형 언제 되나...,0
세상 어떤 법이 묵시적청탁이라는 이유로 구속을 시킬까 관심법이랑 뭐가 달라,0
화이팅 윤건희....이것이 너희들의 정부다.,0
카카오나 kt사건같이 기업전산망 문제나는건 봤어도 국가전산망이 이렇게 복구가 인되는건 또 처음이내,0
윤재앙이 하는짓이 그렇지머  머가 달라지냐..무능한놈 뽑은 놈들이 문제지..피해가도 원망하지마라 자업자득이니..,0
전정부탓이오~,0
윤석열 보유국 답다. 얼마나 언론을 통제 했으면 이게 속보가 아니냐!!,0
아이들이 불쌍해,0
"하마스가 이 일의 원흉이다. 그 배후에는 이란과 러시아가 있고, 그 깐부가 북괴다. 이런 북괴에게 종북주사파 정권과 그 세력들이 돈을 바쳐댔다",0
문제는 미국과  서방이 감싸고 있는 이스라엘이란 나라가 없어지면  중동애 영원한 평화가 올것이다 영국과 미국이 옹호 하면서  남의 나라 땅에  침입하여  땅을 빼앗아  나라를 선포하고  그 주변을 전쟁을 통해 넓혀 나가면서  몇 차례 전쟁에서  승리하였으면 팔페스타인 사람들 인권도 존중해 주어야 하는데 가장 악독하게  팔레스타인 인을  대하고 인권이란게 없게 하는 잔혹한  유태인  지구상에서 사라저야 한다,0
한겨레.식 관점....임진왜란때 대 일본제국 해군들을  이순신이  무자비하게    죽임,0
이게 대한민국이 맞나? 글을 읽다 한심해서 머리가 띵해지네 질병청장 파면하고 저딴 아이디어를낸 작자도 파면하라,0
옛말에 초가삼간 다 태운다는게 맞는말이었구나..다리미 30초에 홀랑 다 태우겠다..,0
차라리 집을 태우라고해라,0
ㅋ  ㅋ  ㅋ  다리미 드라이어래 ㆍ ㆍ 바보 삼룡이가 더  수준이 높겠다,0
그렇게 해서 없어지지 않습니다. 어디서 옷에 달고와서 당일 바로 퇴치하는거면 모를까 집안에서 피맛을 봤다면 이미 숨어들어 다시 새벽을 노립니다. 그렇게 걷잡을수없이 늘어났을땐 이미 늦어서 저런방법 안통합니다. 옷은 세탁소에 모두 맡기시고 침구류는 전부 버리세요 천정구가 있다면 올라가 방역하시고 벽틈과 콘센트등도 모두 제거하고 그런식으로 수일간 방역 지속하세요 방역기간중 집에서 잠을 안자는것도 한 방법입니다. 숨어서 안먹고 몇개월버티는놈들이 맞긴합니다만 결국 사람이 없는곳에는 자연스럽게 사라집니다.,0
대구것들이 문제야.,0
윤석렬이하는짓거리가뻔하지경제멍청이 국방얼간이 외교굽실이가 아는게잇어야 나라가굴러가지,0
"아 그거? 문정부탓이야,ㅋ",0
그래도 2찍 왜구 사생아들은 굥을 숭배...,0
괜찮아 이대로 쭉 망하라고 해. 이참에 개돼지들 정리 좀 되야지?,0
문죄앙은. 대통 되자마자 중국에 큰산이라고납작 업드려 인하고. 국내부동산 을 중국놈들에게. 내국인보다 더싼이자로 마구. 퍼주었습니다 뇌무현 놈은. 조선족도 같은 동포라고. 지문 날일을 없애고. 투표권도 쥐어주었지요,0
환향녀는 국가가 그리고 남은국민이 지켜주지 못해놓고 환향녀로몰아 죽음으로내몰은 국가적인비극이다 국가가힘이없으면 지금도미래도 그렇게된다,0
진짜 저 시절은 웃겼지. 무능해서 빼앗겨놓고 살아돌아온 이들을 탓한건. 다르게 말하면 살아온 이들이 자신들의 무능을 상징하는 거니까 더 지우려고 핍박했겠지.,0
"평화를 지키라고  준 권력을  나라팔이, 전쟁부추키는  정치, 어떻합니카,",0
조선은 518년 중국서 갖다 버린 유교 붙잡고 살다가 왕국 멸망 시킨 것이다 피해는 고스란히 백성들이 담당했다,0
극성팬은 아줌마들이 정말 심하긴함. 다퍼나름 주위 아이돌 좋아하는 학생보면 눈쌀찌푸리고 욕하면서 정작 지들은 남편 자식 밥도안차려주고 뛰쳐나감,0
"한강폭우로 침수때  슬퍼할때 자전거 못탄다고 투정하고자동차전용도로 위반한 아이가 많이도 벌었네...
참대단하다",0
"잘관리해라.도둑이 천지다
할아버지가 키운놈",0
생긴 꼬라지보소..,0
껌사우월주의자들은 정치허면 안된다 차등 차이에 당연하다생각하고 정신이 좀 이상한자들이다,0
윤석열이가 갑자기 대선 후보가 되어서 선거판을 엎어 버렸듯이  지금 한동훈이는 내년 총선의 빅 이슈 메이커임.  이 모든게 범죄인들이 똘똘 뭉쳐 있는 민주당의 덕분입니다~~~,0
"한동훈은 대선 직행해야 됨. 안그래도 민주당에서 일부러 사사건건 시비 걸면서 이미지 소모시키는데 굳이 더러운 곳에 발 담가서 더 이미지 깎을 필요 없음. 총선 인재는 여당에서 알아서 찾고, 한동훈은 법무부장관 하면서 범죄자들 잡아넣고 무너져가던 법치 다시 살린 다음 대통령 하면 됨.",0
총선에서 개박살나봐라...그게 바닥 민심이란걸 깨달을 것이다...,0
장인검사는 주가조작.  처남검사는  유부녀 후배 여검사 성폭행.    처형은 국제 입시비리 . 부인은 외제차 세금 몇푼 아끼려고 위장전입. 딸은  불법논문.    대한민국   검사집안은  다   불법과  위선  집구석인가,0
범죄에 나이가 어디있냐,0
ㅋㅋㅋㅋ 이러니 개견이지,0
아들대단하네..그걸살려보냇네 그냥 반은 죽여놓지...,0
"현행범 체포해서 사건처리하기 귀찮았냐? 중요범인 체포.구속시키는게 경찰일인데 일하기 싫으면 명퇴해라.불구속상태에서 재판받고 처벌은 받겠지만, 불구속상태에서 피해자가 떠안을 불안감은 어떻게 할거니?
아무리 생각해도 업무처리 간편하게 하기위해 저렇게  처리한거같다는 생각이 왜 드는걸까...",0
이게 다 문재인 때 시작한 재판 입니다. 때려 죽일 뭉개버린 이죠!,0
이재용 회장님 나라경제 살리는 회장님  열심히  일 하시게  좀 무죄주시면 안될까요 꼭 선처해 주세요 이재용 회장님 힘 내세요,0
그만 괴롭히고 경영에 집중하게 합시다. 징하게 오래 괴롭히네요. 기업이 힘들면 나라가 망해갑니다,0
정권이 바뀌어도 똑같이대하는구나! 뭘 얼마나 더 뜯을려고들이러나.,0
꼽으면 한국나가라 재용아 불쌍한척 하지말고,0
그러다 불난다,0
집을 태우라고해라,0
다리미찾고 드라이기찾고 할시간에 빈대가 나죽여줍쇼하고 그자리에 잘도있겠다 그냥 잡으면되지ㅋㅋ,0
손톱으로. 문질러 손세척,0
"기자--아 님아.
 밥은 먹고 사니?",0
정작 큰죄 저지른 재명 제인  안잡는지 못잡는지  하고는  국가와 기업발전에  큰 일하는 이재용을 못잡아먹어 안달하는 너희는 대체 누구냐  김명수 문재인이 꽂아넣은 쓰레기 좌익 판검사들 여전히.  어이없다,0
상속세 좀 어케해라.  세계에도 없는 과한 상속세 땜에 엄한 사람들 전과자 만들고 경영에 지장주니 기업 다 공중분해 시키지 말고. ..,0
애국 기업 삼성이다 제발좀 그만 건드려라....공짜로 국개의원을 승계한 의겸이는? 편법으로 국개의원을 물려 받다시피한 재명이는? 이래서 고 정주영 회장이 정치를 하려 했던거 아니냐? 정치하는 놈들한테 겁박받는게 신물이 나서,0
그만좀 괴롭혀라.판새시스템 전부 바꿔라,0
재벌 못 잡아먹어 안달이 났군.. 선거다가오니 정의로운척 해보는건가? 국힘지지자들은 문정부에서 재벌 탄압이라고 거품 물더니 이 사안은 어떻게 평가하는지 궁금하다. 뇌는 탑재되어 있겠지?,0
저기서 또 저표정질 하네~~,0
시진핑과 회담은 무슨. .진핑이 저 넘은 한국이 지들 속국으로 생각하는 넘임...문가와 민주당은 저 속국이란 말 할때 아무 말도 않한 역적들임...,0
악수한 것이 뉴스 기사. 연예인도 아니고. 어찌 나라 꼴이 이모양인지....,0
표정이 정말 ㅎㅎ,0
"한중 정상회담 성사를 기원하며, 양국의 발전을 지지합니다....",0
나는 아직도 이해가 안되.. 이게 왜 돈이야?,0
항상 이런거 나오면  얼마후에 폭락 하더만~~,0
비트코인 도박타령하는 사람들은 현재 시총 920조 인건 알려나 나중에 비트코인 1억 되면 내 물량 좀사줘요 그 때는 이해가 갈듯,0
원래의 가격인 0원까지 가즈아,0
이해의  문제가 아닙니다.공부합시다,0
임영웅 광주 콘서트 꼭 가고 싶었는데 실패!성공한 사람들 많이 즐기고 오세요,0
임영웅  최강스타의 면모를 보여주는 티켓팅,0
임영웅   전국투어 콘스트 전지역 전석 매진역시 국민가수  언제나빛나는 내일 을 응원합니다,0
임영웅 독보적인 넘사벽아티스트 전국투어콘서트 전석매진,0
정말 가고싶었는데 접속도 어렵네요,0
"김주현 김소영 금융위와 기관 카르텔들이 공매도 사기 시스템 유지하려고 수작부리네.... 공매도 90일 이후 무조건 상환, 시장조성자 폐지, 공매도 전산화.. 위반하면 매매금액의 10배 과징금 부과..",0
증권사와 공매도 기관과 결탁해서 공매도 금지를 부정적으로 묘사하는 기사를 올리는 기자들도 조사해야합니다.,0
도둑놈 같은 외국계와 거기에 동참하는 국내 공매세력은 내보내는게 답이다! 바보냐? 집안에 도둑을 집사로 두냐!,0
외인이나 기관들도 롱에 건 자금이 훨씬 많은데 공매도 때문에 빠져나간다는건 개소리지 ㅋㅋㅋㅋ,0
관습에 의해 개인 투자자 파산시키는 증시를 공략한 건 정말 사이다 정치였다. 우리도 미국 증시처럼 우상향하는 제도와 환경을 만든다면 이번 정권의 큰 업적이 될 것이다.,0
한동훈 장관은 외국인 근로자가 검증이 되면 숙련기능인력 비자를 취득할 수 있게 하는 정책 현장을 살폈다고 기사 본문에도 나와있어요 정치병자들아;;; 무슨 일하러 간 것도 사사건건 시비임 진짜 피곤하다,0
"""제가 추진하는 외국인 정책은 외국인의 인권이나 세계평화나 인도주의를 위한 것이 아닙니다 (외국인근로자를 고용하는) 우리 국민이 잘 살고 대한민국이 도움이 되는 정책을 하자는 겁니다"" - 국익을 위해 일하는 찐공직자 한동훈 장관님 응원합니다 👍",0
그냥 외국인정책 던져놓고 마는게 아니라 현장목소리 듣기위해서 노력하는게 보기좋음,0
대구가 한동훈 인기에 난리났던데요,0
열심히 일하는 한동훈 장관님 항상 응원합니다,0
에혀 국민들에게 가짜뉴스를 퍼뜨리면서 구라질을 해서 속이고 총선에서 이득을 보고 당선됐으니 사과는 너무도 당연하다.,0
10원 한푼도 남한테 피해준적없다?  거짓말을 입에 달고사는 집구석,0
윤석열 탄핵,0
"그래도 딸래미하고 사위는 욜시미 외국 나들이 댕긴다ᆢ사위란게 사과 한 마디 읎으요
10원 한 장 이득본 것 없다라는 말 어케 해봐ᆢ탄핵 내지는 허위사실 공표죄 아녀?  탄학 가야지",0
범죄행각은 가족공동체로 윤도 건희도 모두 동일죄 적용해야지ᆢ 만약 사위가 없었다면 저런 위조 문서를 법원까지 제출 했겠나? 전부 윤의 권력 힘과 사전조율에 이뤄진 결과로 은순의 1년 징역도 재수사하고 윤 건희도 동싲수사하는것이 자유민주주의딘,0
쉽지않지만 <<< 이건뭔 개소리냐 ;;; 진짜 무능정부,0
저녁뉴스속보..북한이 해킹한 흔적발견이라 할듯..에휴..,0
정보화 예산 줄이고 다 통합하고. 결국 현장 업체만 죽는다.,0
놰 석렬 조작당 알바들이 조용하네.,0
잡밥에만 신경쓰니  글치   무능무능  지겹다,0
"비명계는 뭘 바꿔야 한다는 거냐 니들은 원래 이재명을 싫어하잔아 결국 이재명을 바꿔야 한다는 말인데 차라리 니들이 나가라 니들은 민주당내에서 기득권이고 권력이다 
니들이 국회에서 한게 뭔냐 당의 분열만 만든 인간들 
이재명이 없는 민주당은 지지할 명분이 없다 
비명계 의원들 솔직히 니들이나 국힘당 의원이나 뭔 차이냐",0
아니 이미 이재명이 성남시장 경기도지사 거친거 자체가 험지였는데 뭔 맨날천날 험지가래? 국회의원들 셩선없이 단수공천 받으면서 n선 해먹을때 이재명은 민주당이 당선된적 없는 험지에서 경선해서 공천받아 당선된거임 심지어 경기도지사도 바로 전임이 국힘당이여서 이재명이 일잘해서 밭갈이 한건데ㅋㅋㅋㅋㅋ,0
비명계는 무슨 ㅋㅋㅋ 그냥  가결 오적임 매국노,0
저도 그렇게 생각합니다 당대표한테 억지 그만부리시고 총선을 진두지휘 할수 있도록 해주는게 대표와 민주당을 위하는것이다,0
비명계 = 친국민의 힘! = 친윤,0
기성 선생들 때문에 요즘 선생님들이 욕봅니다. 제대로 처벌받길.,0
서초구라서 혐의없음으로 종결될 듯요.,0
손모가지 자르고 풀어줘라. 교직에서는 연금못받게 처리도 꼭 해라,0
기억이 안난다 라고 애기하겠지  판결은 초범이고 반성하니 집유로 나올테고,0
나이처먹고 ㅋㅋ술이 웬수다 술이 웬수야 그지?ㅋㅋ,0
"답은 너무 명확합니다..나눔과 베품은 내가 못쓰는 것을 주는 것이 아니라, 내가 쓰는 것을 남과 나누는 것입니다. 내가 못쓰는 것은 버리시고, 내가 쓰는 것을 할머니께 나눠 주시면 되고, 그게 싫으면 그 할머니가 문을 두드리시면 거절하시면 됩니다....",0
저런 엄마 부끄럽다.,0
할머니께도 어머니가 드실수있는 음식도 좀 드려보시라고.... 어머니도 친정어머니계셨을텐데 이왕에 좀더 큰마음으로 베풀어보심이 어떨지요,0
지 먹기 싫은 음식물을 남에게 주면 안된다. 이런 인간을 소시오패스 또는 싸이코패스라고 부른다.,0
"날짜 지난 음식은 안 됩니다 면역력이 떨어진 노인분들은 치명적일 수 있습니다 착한 마음도 중요하지만 착한 마음속에 담겨 있는 건강한 음식을 드리는 것도 중요합니다....... 대한민국 부모님들 건강하세요 사랑합니다.........♥️....
..",0
광장시장 물가도비싸고 사람도많고 위생도안좋다.또한 카드내밀면 정색한다.외국인 가면 덤탱이도 씌운다.전통시장살리자살리자 하는데 바뀌지않으면 평생 똑같다.일단 광장시장 먹거리 더럽다.매우더럽다.,0
가지 마세요.. 더럽게 비싸고 지저분하고 중국놈 천지 입니다.,0
광장시장 카드 거절하는거 반드시 신고당해야 한다.다 불어서 부서지는 잡채부터 위생부터 하...계좌이체하라고 픽 던져주는 입금계좌적힌 종이...진짜 바뀌어야한다,0
"유튜브나 외국관광객들이 많이 찾아오면 질좋은 음식을 내어주지는 못할망정 가격후려치기는 하지 말아야지 ㅋㅋㅋ 꼭 보면 상인들이 지 복을 지가 찬다니까. 언제까지 저렇게 호황을 누리겠냐만, 또 한편으로 생각해보면 돈까스도 12,000원 넘는데도 많더니만 뭐 한국 음식점들 대부분이 저런 비판에서 자유롭지 못할 것 같다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",0
사주는 사람이 있으니 저 가격에도 팔리는거,0
저런 범죄자를 지지해주는 몰상식한 사람들이 넘쳐나니반성을 안하지,0
"국민이 민주적인 방법으로 선출을 했으면 본인 마음에 안들더라도 대통령은 대통령으로 인정을 해야지 고의적으로 ~씨라고 예우 없이 호칭하는 건 자신이 대선 불복, 국가 전복의 의도를 가진 반민주 세력임을 고백하는 것으로 보아야 겠지요?",0
저런인간이 교수라는 직업까지 깆고 이썼다니 무식한 조씨,0
하급은 매번 남탓을 한다. 그래서 평생 하급이다.,0
찌질,0
법원의 솜방망이 처벌이 저런 괴물을 만들어낸다,0
전과가 있는데 경찰을 할 수 있는거임??,0
"해양경찰관을 임용할때,과거 전과기록을 살펴보지 않나요? 공무원,교사 임용할때는 전과기록 조회를 합니다..음란물 유포방지 혐의로 벌금형 받았으면,채용하지 말아야죠..여친을 폭행하고 목졸라 살해한 30대 해양경찰관은 사형을 선고합시다. 범인은 임용 시험 전에 성 관련 범죄를 저질러 처벌받은 전력이 있었던 것으로 확인됐어요.",0
"지금도 그래도 공무원 하길원하는 사람들 많을텐데, 전과기록 있는 응시자가 면접까지 합격했다는게 의문이네요. 무슨 빽이 있었던 겁니까? 이제 범죄자들도 공무원 가능한 세상이군요. 아니면 원래 전과 기록 같은건 보지 않았던 건가요?",0
공짜? 좀 삼성좀 냅둬라..와이리 괴롭히노..,0
공짜승계했다고 징역 때렸다고...판사야...너는 부모돈으로 공짜로 밥먹고 공부하지 않았냐?~ 징역때린놈도 같이 징역 당해야 할듯...본인도 공짜로 부모돈 받고 자랐잖아...판새 좌파세이야...어떻게든 나라 망하게 할려구 별 짓을 다해요,0
이죄명 처럼 부정 비리를 저지른 것도 아니고 3대에 걸처 국가적인 부를 이룩 나라를 부강하게 하였는데 문재앙 정권이 무리하게 기소를 한 것이다.막말로 지가 벌어 지가 재산 지키려한게 무슨 죄가 되나?  그게  죄가 된다면이죄명의 아버지 부관참시하고 손자대까지 벌을 줘도 시원치 않겠다.   이재용의 죄를 사면하라! 불기소 처분이 마땅하다!,0
그만 좀 못살게 굴어라 이 공산주의자들아,0
문재인이 심어논 떡감 들 잘한다수출로 먹고사는 나라 오너 다  없애면 일본 꼴 나지,0
그러니까 북한이 좋으면 그냥 싹 다 월북해 버려라. 남한에서 투정부리지 말고 이 민주당 패거리야.,0
차라리 자기소신대로 공산주의가 좋다고 간것은 이해가 된다 근데 더불어전라당과 지지자들은 북괴외 중국을 찬양하고 종북종중 사대하면서 대한민국에 끝까지 남아서 좌익짓 하지말고 너것들이 원하는 북으로 가서 살아라 여기는 우리가 살아갈께,0
일단 대한민국에서 제정신이 남자라면 절대 안감. 정신병 환자이거나 범죄자거나 둘중하나.,0
"예전에 탈레반에 자원해서 총알받이로 사라진  20살먹은 모지리 있었는데. 이번 모지리는 몇살이나 먹었고 무슨생각으로 러시아군에 입대했는지,? 한 20일쯤 지나면 집에가고싶다고  연락오겠지만. 안타깝네요~~~^^",0
진짜한국인맞을까? 아닐수도 확실하지도않고 그냥 러샤언론일뿐인데,0
북한 해커들 짓인지 수사하라.,0
중공이나 북한쪽에 뚫렸다고 보는것이 합당한듯! 원인도 해결도 못한다면  큰문제가 아닌가싶은데?  국정무력화를  통해 얻고자 하는게 있나도싶고? 내년 총선은 무조건 사전선거 철폐와 수개표로 진행하는것이 옳다고봄!,0
내일 행정안전부 전공무원 정상출근 정삼근무시켜 국민들이 피해 입지않도록 해라,0
이건단순행정마비 아닐거다.분명무슨 조작을 벌이고있을거다,0
북한이 했을끼다...,0
문가넘 및 종북좌파 땜에 나라가 마약 천국일세,0
우리 나라도 마약  하면  무조건 사헝. 무기 징역으로 강력하게  해봐라 그럼 할사람 없다 장난하고 놀고들 있네,0
마약홍보대사 황운하 그늠은?,0
마약사범  어떻게  처리  하는지  중국에게  배워라,0
떼거리 마약  사건의 주범은 사형에 처해 주세요...아님  베트남이나 중국에  위탁  처벌로 사형 집행 다하게 해 둡시다,0
좀..그만 괴롭히세요..그간 충분히 맘고생했습니다.,0
이재용 회장이 징역이면 국개의원들은 사형이다~ 국개의원들 나라에 기여도가 얼마나 된다고 생각함?,0
간첩 문재인 정권때  백신수급 어려워지자 가뒀던 이재용 회장 한명이 해결했지. 일당 백. 쓸모없는 간첩들과 주사파 좌파늠들은 영원히 없어져야함.,0
적당히 좀하자 ..잘못은 했지만..그 누구보다도 나라위해 일선에서  봉사하는 이다,0
삼성과 이재용 회장은  대한민국 경제와 생활의 성실한 리더이다.  국민들은 이 분들과 함께 한다.,0
뭐사 아쉬워서 벤틀리받고명품선물받고  빛 갚아주게하고 동생내외에 조카까지 돈받게 해주었니?,0
재주는 전청조가하고 돈은 니가받아 챙겼다며?그럼 공범이지!!,0
사진 인물변형이 심하네.,0
조국이나 이재명도 뭐가 아쉬워서 사기 쳤겠나? ㅎㅎ,0
사기친 사람이 치고싶어서 쳤것냐 하는거네..사기 방조와 이익취득은 맞는것같네,0
어린 자녀의 도움을 외면한 부모도 처벌해야 합니다,0
부모 쓰레기는 처벌 안하냐,0
하긴 부모가 정상 이였으면 오빠가 저런짓을 할리 없지. 안타깝다. 딸은 누굴 의지하면 사냐.,0
부모와 오빠  영구히 사회와 격리 되어야 한다,0
부모도 같이처벌해야하는게 당연한거 아닌가요,0
"현재 산업은행은 경남권의 지역특채로 인하여 새로운 파벌이 생기고 있고, 전체인력의 2~30%가 지방특정대학의 인력으로 형성되어 가고 있다는 점입니다. 지역 균형발전도 좋지만 특수목적 은행의 기능이 저해되지 않도록 하는 것도 중요한 것 같습니다.  글로벌 경쟁력을 확보하기위해서는 이런 부분도 참고를 해야 할 듯합니다.",0
국가 재정이랑 연계된 은행을 제대로된 검토도 없이 부산으로 보낸다고 하니 직원들이 다 나가지... 결국 피해는 국민들이 본다,0
"충청도랑 강원도에는 지역기반 은행 하나도 없고 금융공기업도 없음. 부산에는 부산은행과 경남은행이 있고, 금융공기업 계속 받아가서 주금공, 거래소, 예탁결제원, 기술보증기금, 주택공사 등등 이미 서울 다음으로 금융공기업 많음... 그런데 충청도 강원도는 다죽어가는데 또 부산?? 부산이기주의는 이제 그만....",0
금융에서 제일 중요한게 전문 인력인데 ㅉㅉ 정치가 금융을 망친다,0
정치판에 매번 흔들리다 본점까지 이전한다 어쩐다 하니 불안해서 다닐수가 있겠나? 인재들 나가면 기관 경쟁력 하락하고 결국 피해는 국민들에게 간다. 포퓰리즘 정책좀 그만둬라!!,0
공로로 선물준다는데 무슨 세금을 뺏어가냐 증여세좀 없애자,0
구회장이 번개장터에 올리고 오지환은 100원에 안전거래해라,0
세금세금~~~복권에도 세금 붙는 나라;;;상속세 폐지해라 나라 망한다,0
기자 똑똑하눜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오지환 세금 걱정도 해주고 ㅋㅋㅋㅋ,0
누구를 위한 세금인지 !,0
대구는 개목줄에 빨간리본만 달아도 당선된다,0
윤통이 대통령 하니간 너도나도 정치하고 싶은가보네 ㅉㅉ 깐죽이는 깐죽이로 남지,0
한동훈이 지금까지 뭐했는데~  그리고 대구가 그렇게 만만하냐 쓰래ㄱ들은 왜자꾸 대구오데~  와그라는데,0
탄핵당하기 무서워서 꼼수사퇴하고 방탄출마하려고 와이프 사진뿌리며 언플질햇던거구나 한가발 탄핵에 쫄았네 ㅋㅋ그러니 위법행위하지말고 똑바로 살았어야지?,0
